Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,82.798996,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,83.184326,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,83.916473,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,84.956886,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,85.043571,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,84.985786,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,84.600449,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,84.850906,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,86.315178,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,85.111008,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,86.835373,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,86.796860,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,86.700523,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,88.251488,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,88.530876,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,88.453789,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,88.945114,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,90.611679,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,90.476807,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,89.340065,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,91.526848,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,90.804352,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,88.415260,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,84.773842,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,87.981750,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,86.324814,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,81.893471,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,84.947235,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,85.862396,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,86.536758,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,87.891769,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,89.682312,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,89.043526,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,89.740387,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,88.549896,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,88.782204,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,91.037323,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,92.353607,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,91.172836,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,90.756645,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,89.866211,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,90.059784,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,90.630821,23901600
2018-03-06,94.339996,94.489998,92.940002,93.320000,90.321098,22175800
2018-03-07,93.160004,93.940002,92.430000,93.860001,90.843742,26716100
2018-03-08,94.269997,95.099998,93.769997,94.430000,91.395432,25887800
2018-03-09,95.290001,96.540001,95.000000,96.540001,93.437630,36937300
2018-03-12,96.500000,97.209999,96.040001,96.769997,93.660225,26073700
2018-03-13,97.000000,97.239998,93.970001,94.410004,91.376083,35387800
2018-03-14,95.120003,95.410004,93.500000,93.849998,90.834068,32132000
2018-03-15,93.529999,94.580002,92.830002,94.180000,91.153465,27611000
2018-03-16,94.680000,95.379997,93.919998,94.599998,91.559967,49081300
2018-03-19,93.739998,93.900002,92.110001,92.889999,89.904915,33344100
2018-03-20,93.050003,93.769997,93.000000,93.129997,90.137199,23075200
2018-03-21,92.930000,94.050003,92.209999,92.480003,89.508095,24457100
2018-03-22,91.269997,91.750000,89.660004,89.790001,86.904541,38604700
2018-03-23,89.500000,90.459999,87.080002,87.180000,84.378426,44068900
2018-03-26,90.610001,94.000000,90.400002,93.779999,90.766327,56396800
2018-03-27,94.940002,95.139999,88.510002,89.470001,86.594826,56569000
2018-03-28,89.820000,91.230003,88.870003,89.389999,86.517380,52501100
2018-03-29,90.180000,92.290001,88.400002,91.269997,88.336983,45867500
2018-04-02,90.470001,90.879997,87.510002,88.519997,85.675354,48515400
2018-04-03,89.580002,90.050003,87.889999,89.709999,86.827103,37213800
2018-04-04,87.849998,92.760002,87.730003,92.330002,89.362923,35560000
2018-04-05,92.440002,93.070000,91.400002,92.379997,89.411301,29771900
2018-04-06,91.489998,92.459999,89.480003,90.230003,87.330399,38026000
2018-04-09,91.040001,93.169998,90.620003,90.769997,87.853035,31533900
2018-04-10,92.389999,93.279999,91.639999,92.879997,89.895241,26812000
2018-04-11,92.010002,93.290001,91.480003,91.860001,88.908020,24872100
2018-04-12,92.430000,94.160004,92.430000,93.580002,90.572739,26758900
2018-04-13,94.050003,94.180000,92.440002,93.080002,90.088814,23346100
2018-04-16,94.070000,94.660004,93.419998,94.169998,91.143784,20288100
2018-04-17,95.000000,96.540001,94.879997,96.070000,92.982719,26771000
2018-04-18,96.220001,96.720001,95.519997,96.440002,93.340836,21043300
2018-04-19,96.440002,97.070000,95.339996,96.110001,93.021439,23552500
2018-04-20,95.910004,96.110001,94.050003,95.000000,91.947105,31154400
2018-04-23,95.739998,96.290001,94.629997,95.349998,92.285858,22331800
2018-04-24,96.239998,96.470001,92.410004,93.120003,90.127525,34524800
2018-04-25,93.300003,93.300003,90.279999,92.309998,89.343552,33729300
2018-04-26,93.550003,95.150002,93.099998,94.260002,91.230896,42529000
2018-04-27,97.599998,97.900002,93.910004,95.820000,92.740761,48272800
2018-04-30,96.330002,96.400002,93.150002,93.519997,90.514664,41523600
2018-05-01,93.209999,95.290001,92.790001,95.000000,91.947105,31408900
2018-05-02,94.989998,95.169998,93.190002,93.510002,90.505005,27471000
2018-05-03,92.959999,94.930000,92.449997,94.070000,91.046997,31142500
2018-05-04,93.320000,95.370003,92.919998,95.160004,92.101967,22531300
2018-05-07,95.169998,96.709999,95.099998,96.220001,93.127899,24242000
2018-05-08,95.849998,96.160004,95.059998,95.809998,92.731087,23484600
2018-05-09,96.010002,96.970001,95.050003,96.940002,93.824760,27327400
